"","Year","State","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"1",1999,"ALABAMA",490.2,7.9,121.2,326.5,3922.2,884.4,2737.2,300.5
"2",1999,"ALASKA",631.5,8.6,91.4,448,3731.7,611.8,2690.5,429.4
"3",1999,"ARIZONA",551.2,8,152.5,361.6,5345.4,1034.4,3510.5,800.5
"4",1999,"ARKANSAS",425.2,5.6,79.3,312.5,3617.5,850.3,2506,261.2
"5",1999,"CALIFORNIA",627.2,6,181.1,411.7,3177.8,675.3,1994.2,508.3
"6",1999,"COLORADO",340.5,4.6,75.3,219.2,3722.9,665.2,2693,364.8
"7",1999,"CONNECTICUT",345.6,3.3,123.5,198.9,3043.7,588,2111.5,344.2
"8",1999,"DELAWARE",734,3.2,197.9,462.7,4101.1,695.6,3001.9,403.6
"9",1999,"DISTRICT OF COLUMBIA",1627.7,46.4,644.3,889.2,6439.3,976.3,4181.3,1281.7
"10",1999,"FLORIDA",854,5.7,211.6,590.5,5351.6,1200.3,3534.5,616.7
"11",1999,"GEORGIA",534,7.5,166.4,330.3,4614.6,917.2,3182.3,515.2
"12",1999,"HAWAII",235,3.7,88.1,113.3,4602.4,795,3414.2,393.2
"13",1999,"IDAHO",244.9,2,17.8,191.8,2904.4,610.3,2142.5,151.6
"14",1999,"ILLINOIS",732.5,7.7,219.4,471.2,3774.1,712.3,2632.1,429.7
"15",1999,"INDIANA",374.6,6.6,109.3,231.7,3391.3,714.5,2335.4,341.4
"16",1999,"IOWA",280,1.5,36.6,214.7,2944,593,2172,179
"17",1999,"KANSAS",382.8,6,77.1,259.5,4055.9,824.2,3003.8,227.9
"18",1999,"KENTUCKY",300.6,5.4,80,189,2577.5,610.9,1748.7,217.9
"19",1999,"LOUISIANA",732.7,10.7,173.6,515.2,5014.2,1092.7,3425.2,496.2
"20",1999,"MAINE",112.2,2.2,19.4,71.6,2762.8,601.1,2026.5,135.2
"21",1999,"MARYLAND",743.4,9,263.7,440.7,4175.8,835.8,2848,492
"22",1999,"MASSACHUSETTS",551,2,96,426,2711.5,533.8,1762.7,415
"23",1999,"MICHIGAN",574.9,7,143,375.7,3749.9,777.9,2396.1,575.8
"24",1999,"MINNESOTA",274,2.8,82,146.5,3323.2,580.1,2465.2,278
"25",1999,"MISSISSIPPI",349.3,7.7,111.6,188.2,3920.5,1051.2,2380.6,488.7
"26",1999,"MISSOURI",500.2,6.6,130.7,336.6,4078.5,776.8,2881.3,420.3
"27",1999,"MONTANA",206.5,2.6,25.8,149.7,3863.4,428.5,3220.2,214.7
"28",1999,"NEBRASKA",430.2,3.6,75.9,325.9,3678.1,609.7,2741.8,326.5
"29",1999,"NEVADA",570,9.1,232.7,276.1,4083.7,973.6,2386.2,723.8
"30",1999,"NEW HAMPSHIRE",96.5,1.5,21.4,44.9,2185.4,307.9,1764.8,112.7
"31",1999,"NEW JERSEY",411.9,3.5,174.9,216.1,2988.2,577.2,1976.9,434.2
