"State","Area","Actual","Percentage","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y","0.93100000000000005",144894,15328,129566,"265","1078","4507",9478,28256,90661,10649
"ALABAMA","M","N","1",149880,15835,134045,"273","1128","4602",9832,29432,93614,10999
"ALABAMA","O","Y","0.90200000000000002",28522,3621,24901,"37","207","519",2858,5044,18600,1257
"ALABAMA","O","N","1",31637,4017,27620,"41","230","576",3170,5595,20631,1394
"ALABAMA","R","Y","0.81299999999999994",9183,1275,7908,"25","126","97",1027,2942,4364,602
"ALABAMA","R","N","1",11302,1569,9733,"31","155","119",1264,3621,5371,741
"ALASKA","M","Y","1",12950,1685,11265,"19","162","398",1106,1543,8471,1251
"ALASKA","O","Y","0.69099999999999995",6514,1010,5504,"9","144","95",762,755,4085,664
"ALASKA","O","N","1",9423,1460,7963,"13","208","137",1102,1092,5910,961
"ALASKA","R","Y","1",4635,764,3871,"21","147","31",565,1152,2273,446
"ARIZONA","M","Y","0.999",262622,24418,238204,"363","1303","7145",15607,45669,155434,37101
"ARIZONA","M","N","1",262859,24433,238426,"363","1304","7149",15617,45714,155584,37128
"ARIZONA","O","Y","0.98499999999999999",12769,995,11774,"10","44","96",845,2168,8919,687
"ARIZONA","O","N","1",12966,1010,11956,"10","45","97",858,2201,9057,698
"ARIZONA","R","Y","0.92500000000000004",5463,823,4640,"10","31","39",743,1394,2857,389
"ARIZONA","R","N","1",5910,891,5019,"11","34","42",804,1508,3090,421
"ARKANSAS","M","Y","1",64746,6845,57901,"79","499","1470",4797,11919,41567,4415
"ARKANSAS","O","Y","0.98999999999999999",26026,2768,23258,"35","137","481",2115,5651,16343,1264
"ARKANSAS","O","N","1",26293,2796,23497,"35","138","486",2137,5709,16511,1277
"ARKANSAS","R","Y","1",12092,1207,10885,"29","73","68",1037,4064,5849,972
"CALIFORNIA","M","Y","0.999",1223207,203067,1020140,"1953","9034","59431",132649,213630,641212,165298
"CALIFORNIA","M","N","1",1223486,203105,1020381,"1953","9036","59442",132674,213680,641367,165334
"CALIFORNIA","O","Y","0.995",21845,2685,19160,"13","161","455",2056,4828,12586,1746
"CALIFORNIA","O","N","1",21961,2699,19262,"13","162","457",2067,4854,12653,1755
"CALIFORNIA","R","Y","1",15717,2075,13642,"39","165","140",1731,5280,6971,1391
"COLORADO","M","Y","0.998",143564,12424,131140,"175","1465","2956",7828,23954,93307,13879
"COLORADO","M","N","1",143929,12450,131479,"175","1468","2963",7844,24007,93558,13914
"COLORADO","O","Y","0.93999999999999995",14803,839,13964,"5","121","74",639,1841,11609,514
"COLORADO","O","N","1",15754,893,14861,"5","129","79",680,1959,12355,547
"COLORADO","R","Y","0.97499999999999998",5005,457,4548,"5","80","14",358,988,3234,326
"COLORADO","R","N","1",5130,468,4662,"5","82","14",367,1013,3315,334
"CONNECTICUT","M","Y","1",101286,10035,91251,"100","597","3926",5412,16939,63789,10523
"CONNECTICUT","O","Y","1",2114,220,1894,"1","2","46",171,362,1432,100
"CONNECTICUT","R","Y","1",7836,1087,6749,"6","55","82",944,1997,4078,674
"DELAWARE","M","Y","1",NA,NA,26474,"22",NA,"1353",2757,4175,19438,2861
