"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.989,16842,283,981,4517,11061,133153,37131,88221,7801
"ALABAMA","M","N",1,17034,285,990,4562,11197,134817,37524,89402,7891
"ALABAMA","O","Y",0.941,2813,28,177,364,2244,22441,5530,15765,1146
"ALABAMA","O","N",1,2972,30,186,380,2376,23541,5817,16518,1206
"ALABAMA","R","Y",0.992,1674,27,119,77,1451,10438,4108,5559,771
"ALABAMA","R","N",1,1687,27,120,78,1462,10520,4140,5603,777
"ALASKA","M","Y",1,2726,18,336,535,1837,12893,1384,10518,991
"ALASKA","O","Y",0.965,699,4,103,56,536,3645,422,2979,244
"ALASKA","O","N",1,724,4,107,58,555,3777,437,3087,253
"ALASKA","R","Y",1,962,8,140,37,777,3367,1129,1960,278
"ARIZONA","M","Y",0.998,25286,324,1733,7251,15978,219952,49185,153015,17752
"ARIZONA","M","N",1,25312,324,1735,7257,15996,220275,49249,153254,17772
"ARIZONA","O","Y",0.789,1909,25,417,88,1379,7424,2259,4199,966
"ARIZONA","O","N",1,2418,32,528,111,1747,9405,2862,5319,1224
"ARIZONA","R","Y",1,378,2,14,18,344,2250,823,1265,162
"ARKANSAS","M","Y",0.925,9710,118,801,1894,6897,71252,19357,48012,3883
"ARKANSAS","M","N",1,10163,122,853,1913,7275,73787,20322,49371,4094
"ARKANSAS","O","Y",0.987,2273,33,231,342,1667,21509,7274,13549,686
"ARKANSAS","O","N",1,2303,33,234,347,1689,21796,7371,13730,695
"ARKANSAS","R","Y",0.89,1217,16,142,53,1006,10995,3734,6429,832
"ARKANSAS","R","N",1,1369,18,160,60,1131,12358,4197,7226,935
"CALIFORNIA","M","Y",0.999,157689,1852,7562,56074,92201,1028710,239283,622803,166624
"CALIFORNIA","M","N",1,157749,1852,7565,56094,92238,1029164,239392,623083,166689
"CALIFORNIA","O","Y",1,1573,9,118,268,1178,10573,2727,7078,768
"CALIFORNIA","R","Y",1,1622,23,154,159,1286,9728,3648,4929,1151
"COLORADO","M","Y",0.992,14734,145,1936,3297,9356,126058,23715,90810,11533
"COLORADO","M","N",1,14813,145,1948,3309,9411,127022,23859,91563,11600
"COLORADO","O","Y",0.914,723,7,104,72,540,8366,1278,6801,287
"COLORADO","O","N",1,792,8,114,79,591,9152,1398,7440,314
"COLORADO","R","Y",0.887,370,8,45,6,311,2745,798,1789,158
"COLORADO","R","N",1,418,9,51,7,351,3096,900,2018,178
"CONNECTICUT","M","Y",1,9680,108,828,3609,5135,69896,13021,50840,6035
"CONNECTICUT","O","Y",1,124,2,37,19,66,2326,378,1848,100
"CONNECTICUT","R","Y",1,356,36,54,59,207,4612,1312,2986,314
"DELAWARE","M","Y",1,5020,57,243,1492,3228,30639,7371,21832,1436
"DISTRICT OF COLUMBIA","M","Y",1,7864,88,236,4036,3504,30736,3519,23556,3661
"FLORIDA","M","Y",0.999,90584,986,5012,23480,61106,613039,146949,429515,36575
"FLORIDA","M","N",1,90694,986,5017,23513,61178,613951,147151,430173,36627
"FLORIDA","O","Y",0.985,1066,7,60,189,810,6429,1710,4514,205
"FLORIDA","O","N",1,1082,7,61,192,822,6526,1736,4582,208
"FLORIDA","R","Y",1,2311,16,182,184,1929,12511,4676,7340,495
"GEORGIA","M","Y",0.995,31515,492,1712,11396,17915,281144,71871,182887,26386
"GEORGIA","M","N",1,31675,492,1721,11453,18009,282825,72230,184075,26520
"GEORGIA","O","Y",0.926,3180,37,215,750,2178,29697,7137,21745,815
"GEORGIA","O","N",1,3434,40,232,810,2352,32074,7708,23486,880
"GEORGIA","R","Y",0.962,2388,47,165,192,1984,22544,6592,14859,1093
"GEORGIA","R","N",1,2482,49,171,200,2062,23430,6851,15443,1136
"HAWAII","M","Y",1,2675,25,204,939,1507,34679,6039,25607,3033
"HAWAII","R","Y",1,655,4,81,101,469,8138,1940,5626,572
"IDAHO","M","Y",0.999,2241,11,319,189,1722,23187,4920,17332,935
"IDAHO","M","N",1,2242,11,319,189,1723,23198,4922,17341,935
"IDAHO","O","Y",1,679,6,94,47,532,5316,1191,3905,220
"IDAHO","R","Y",1,397,12,66,7,312,3137,1073,1855,209
"ILLINOIS","M","Y",0.967,49174,718,3047,19031,26378,296052,62951,208470,24631
"ILLINOIS","M","N",1,49982,726,3139,19245,26872,303879,64538,214378,24963
"ILLINOIS","O","Y",0.878,2323,10,290,182,1841,18413,3761,14233,419
"ILLINOIS","O","N",1,2644,11,330,207,2096,20960,4281,16202,477
"ILLINOIS","R","Y",0.943,733,7,95,18,613,6768,2153,4379,236
"ILLINOIS","R","N",1,777,7,101,19,650,7174,2282,4642,250
"INDIANA","M","Y",0.895,19898,267,1322,6228,12081,158421,38510,108199,11712
"INDIANA","M","N",1,20537,275,1396,6323,12543,167343,40612,114459,12272
"INDIANA","O","Y",0.862,1015,10,140,184,681,17092,3082,13224,786
"INDIANA","O","N",1,1177,12,162,213,790,19832,3576,15344,912
"INDIANA","R","Y",0.786,699,18,86,49,546,8538,2693,5470,375
"INDIANA","R","N",1,888,23,109,62,694,10857,3424,6956,477
"IOWA","M","Y",0.984,5356,31,625,829,3871,48220,11157,34135,2928
"IOWA","M","N",1,5394,31,631,830,3902,48560,11259,34349,2952
"IOWA","O","Y",0.897,1799,11,167,110,1511,14660,3600,10434,626
"IOWA","O","N",1,2005,12,186,123,1684,16339,4012,11629,698
"IOWA","R","Y",0.86,613,2,46,8,557,4249,1570,2358,321
"IOWA","R","N",1,713,2,54,9,648,4940,1825,2742,373
"KANSAS","M","Y",0.992,7207,67,689,1297,5154,63939,12207,46230,5502
"KANSAS","M","N",1,7239,67,693,1301,5178,64300,12269,46505,5526
"KANSAS","O","Y",0.961,2233,9,277,178,1769,20552,4470,15223,859
"KANSAS","O","N",1,2323,9,288,185,1841,21384,4651,15839,894
"KANSAS","R","Y",0.976,654,8,70,14,562,4904,1802,2753,349
"KANSAS","R","N",1,670,8,72,14,576,5026,1847,2821,358
"KENTUCKY","M","Y",0.996,7289,101,656,2925,3607,79535,18970,55714,4851
"KENTUCKY","M","N",1,7313,101,660,2937,3615,79876,19048,55961,4867
"KENTUCKY","O","Y",0.957,936,17,146,363,410,16643,3617,12404,622
"KENTUCKY","O","N",1,979,18,153,379,429,17398,3781,12967,650
"KENTUCKY","R","Y",0.974,1422,74,447,213,688,14173,6582,6470,1121
"KENTUCKY","R","N",1,1460,76,459,219,706,14552,6758,6643,1151
"LOUISIANA","M","Y",0.966,18739,450,908,4972,12409,136314,35438,93929,6947
"LOUISIANA","M","N",1,19200,456,934,5059,12751,140631,36395,97127,7109
