"","State","Population"
"1","ALABAMA",4903185
"2","ALASKA",731545
"3","ARIZONA",7278717
"4","ARKANSAS",3017804
"5","CALIFORNIA",39512223
"6","COLORADO",5758736
"7","CONNECTICUT",3565287
"8","DELAWARE",973764
"9","DISTRICT OF COLUMBIA",705749
"10","FLORIDA",21477737
"11","GEORGIA",10617423
"12","HAWAII",1415872
"13","IDAHO",1787065
"14","ILLINOIS",12671821
"15","INDIANA",6732219
"16","IOWA",3155070
"17","KANSAS",2913314
"18","KENTUCKY",4467673
"19","LOUISIANA",4648794
"20","MAINE",1344212
"21","MARYLAND",6045680
"22","MASSACHUSETTS",6892503
"23","MICHIGAN",9986857
"24","MINNESOTA",5639632
"25","MISSISSIPPI",2976149
"26","MISSOURI",6137428
"27","MONTANA",1068778
"28","NEBRASKA",1934408
"29","NEVADA",3080156
"30","NEW HAMPSHIRE",1359711
"31","NEW JERSEY",8882190
"32","NEW MEXICO",2096829
"33","NEW YORK",19453561
"34","NORTH CAROLINA",10488084
"35","NORTH DAKOTA",762062
"36","OHIO",11689100
"37","OKLAHOMA",3956971
"38","OREGON",4217737
"39","PENNSYLVANIA",12801989
"40","PUERTO RICO",3193694
"41","RHODE ISLAND",1059361
"42","SOUTH CAROLINA",5148714
"43","SOUTH DAKOTA",884659
"44","TENNESSEE",6829174
"45","TEXAS",28995881
"46","UTAH",3205958
"47","VERMONT",623989
"48","VIRGINIA",8535519
"49","WASHINGTON",7614893
"50","WEST VIRGINIA",1792147
"51","WISCONSIN",5822434
"52","WYOMING",578759
