"State","Area","Actual","Percentage","CrimeIndexTotal","ViolentCrime","PropertyCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y","0.89600000000000002",149103,15419,133684,"250",1076,"4707",9386,29110,94554,10020
"ALABAMA","M","N","1",163332,16813,146519,"270",1168,"5052",10323,31850,103847,10822
"ALABAMA","O","Y","0.64419999999999999",18993,2406,16587,"24",143,"369",1870,3480,12305,802
"ALABAMA","O","N","1",29312,3713,25599,"37",219,"565",2892,5372,18995,1232
"ALABAMA","R","Y","0.59499999999999997",5569,639,4930,"13",55,"47",524,1833,2654,443
"ALABAMA","R","N","1",9364,1075,8289,"22",93,"79",881,3082,4462,745
"ALASKA","M","Y","1",12866,1524,11342,"10",195,"346",973,1533,8799,1010
"ALASKA","O","Y","0.72499999999999998",6495,1028,5467,"4",116,"90",818,758,4098,611
"ALASKA","O","N","1",8963,1419,7544,"6",160,"124",1129,1046,5655,843
"ALASKA","R","Y","1",4812,611,4201,"11",142,"20",438,1320,2384,497
"ARIZONA","M","Y","0.995",278715,25362,253353,"346",1511,"7338",16167,48057,163534,41762
"ARIZONA","M","N","1",280096,25457,254639,"347",1518,"7360",16232,48338,164377,41924
"ARIZONA","O","Y","0.98599999999999999",13753,1019,12734,"11",45,"98",865,2312,9623,799
"ARIZONA","O","N","1",13955,1034,12921,"11",46,"99",878,2346,9764,811
"ARIZONA","R","Y","0.78400000000000003",3952,619,3333,"1",10,"35",573,955,2010,368
"ARIZONA","R","N","1",5041,790,4251,"1",13,"45",731,1218,2564,469
"ARKANSAS","M","Y","1",70272,7271,63001,"95",597,"1486",5093,12337,45880,4784
"ARKANSAS","O","Y","0.999",27142,3159,23983,"33",159,"418",2549,5345,17434,1204
"ARKANSAS","O","N","1",27177,3163,24014,"33",159,"419",2552,5352,17456,1206
"ARKANSAS","R","Y","0.98699999999999999",12403,1451,10952,"40",91,"95",1225,3704,6319,929
"ARKANSAS","R","N","1",12570,1470,11100,"40",92,"96",1242,3754,6404,942
"CALIFORNIA","M","Y","1",1231988,206253,1025734,"2028",9466,"59749",135010,213040,633595,179099
"CALIFORNIA","O","Y","0.995",20326,2472,17854,"24",135,"372",1941,4348,11837,1669
"CALIFORNIA","O","N","1",20428,2485,17943,"24",136,"374",1951,4370,11896,1677
"CALIFORNIA","R","Y","1",14298,1793,12505,"27",183,"126",1457,4883,6363,1259
"COLORADO","M","Y","0.97999999999999998",145204,12550,132654,"118",1533,"2884",8015,23361,93677,15616
"COLORADO","M","N","1",148722,12805,135917,"121",1562,"2945",8177,23812,96099,16006
"COLORADO","O","Y","0.89700000000000002",14865,964,13901,"7",141,"71",745,2000,11357,544
"COLORADO","O","N","1",16568,1074,15494,"8",157,"79",830,2229,12659,606
"COLORADO","R","Y","0.94199999999999995",5666,460,5206,"5",52,"9",394,1029,3848,329
"COLORADO","R","N","1",6014,488,5526,"5",55,"10",418,1092,4085,349
"CONNECTICUT","M","Y","1",99866,9740,90126,"97",607,"3720",5316,15154,62619,12353
"CONNECTICUT","O","Y","1",2295,227,2068,"--",9,"33",185,370,1577,121
"CONNECTICUT","R","Y","1",7930,1091,6839,"1",62,"79",949,1912,4302,625
"DELAWARE","M","Y","1",NA,NA,25526,"22",NA,"1280",296,4193,18333,3000
"DELAWARE","O","Y","1",NA,NA,1795,NA,NA,"66",216,293,1449,53
"DELAWARE","R","Y","1",NA,NA,2406,"3",NA,"48",508,730,1578,98
"DISTRICT OF COLUMBIA","M","Y","1",41626,8626,33000,"239",251,"3554",4582,4745,21655,6600
"FLORIDA","M","Y","0.995",859616,122600,737016,"840",6574,"30780",84406,160867,489951,86198
"FLORIDA","M","N","1",863932,123095,740837,"842",6597,"30914",84742,161641,492580,86616
"FLORIDA","O","Y","0.90300000000000002",15475,2179,13296,"18",110,"452",1599,3066,9405,825
"FLORIDA","O","N","1",17147,2415,14732,"20",122,"501",1772,3397,10421,914
"FLORIDA","R","Y","0.93100000000000005",27063,3972,23091,"38",315,"367",3252,7316,14238,1537
"FLORIDA","R","N","1",29075,4267,24808,"41",338,"394",3494,7860,15297,1651
"GEORGIA","M","Y","0.98399999999999999",284929,30084,254845,"474",1462,"11304",16844,49389,172496,32960
"GEORGIA","M","N","1",291302,30604,260698,"481",1489,"11476",17158,50278,176886,33534
"GEORGIA","O","Y","0.86799999999999999",51239,5946,45293,"75",246,"1186",4439,7801,35321,2171
"GEORGIA","O","N","1",59050,6853,52197,"86",284,"1367",5116,8990,40705,2502
"GEORGIA","R","Y","0.82999999999999996",32028,3205,28823,"70",162,"338",2635,7651,18960,2212
"GEORGIA","R","N","1",38597,3862,34735,"84",195,"407",3176,9220,22849,2666
"HAWAII","M","Y","1",46659,2302,44357,"20",240,"984",1058,6946,32197,5214
"HAWAII","R","Y","1",16328,652,15676,"15",106,"139",392,3719,11057,900
"IDAHO","M","Y","1",19687,1489,18198,"6",156,"112",1215,3411,13836,951
"IDAHO","O","Y","0.96899999999999997",14524,1050,13474,"2",125,"89",834,2361,10448,665
"IDAHO","O","N","1",14978,1083,13895,"2",129,"92",860,2435,10774,686
"IDAHO","R","Y","1",6558,695,5863,"8",99,"19",569,1483,3931,449
"INDIANA","M","Y","0.85999999999999999",157922,16254,141668,"285",1256,"5564",9149,28208,97222,16238
"INDIANA","M","N","1",175947,17418,158529,"298",1367,"5780",9973,31088,109856,17585
"INDIANA","O","Y","0.82899999999999996",24661,1171,23490,"21",146,"297",707,3734,18374,1382
"INDIANA","O","N","1",29747,1412,28335,"25",176,"358",853,4504,22164,1667
"INDIANA","R","Y","0.41599999999999998",9341,999,8342,"12",90,"60",837,2296,5281,765
"INDIANA","R","N","1",22441,2400,20041,"29",216,"144",2011,5516,12687,1838
"IOWA","M","Y","0.99199999999999999",57878,5183,52695,"36",445,"902",3800,9343,39635,3717
"IOWA","M","N","1",58316,5213,53103,"36",449,"906",3822,9404,39953,3746
"IOWA","O","Y","0.86199999999999999",25209,1826,23383,"8",160,"136",1522,4083,18303,997
"IOWA","O","N","1",29231,2118,27113,"9",186,"158",1765,4734,21223,1156
"IOWA","R","Y","1",7083,465,6618,"1",41,"7",416,2204,3942,472
"LOUISIANA","M","Y","0.96099999999999997",197577,23500,174077,"467",1214,"6848",14971,36624,117875,19578
"LOUISIANA","M","N","1",204275,24250,180025,"474",1250,"6983",15543,37834,122155,20036
"LOUISIANA","O","Y","0.77100000000000002",16191,2285,13906,"22",81,"248",1934,3157,10295,454
"LOUISIANA","O","N","1",21002,2965,18037,"29",105,"322",2509,4095,13353,589
"LOUISIANA","R","Y","0.92800000000000005",15835,2993,12842,"53",132,"211",2597,4045,8199,598
"LOUISIANA","R","N","1",17067,3225,13842,"57",142,"227",2799,4360,8837,645
"MAINE","M","Y","1",14787,654,14133,"2",167,"164",321,2717,10903,513
"MAINE","O","Y","0.98999999999999999",13180,553,12627,"4",109,"65",375,2087,10063,477
"MAINE","O","N","1",13309,559,12750,"4",110,"66",379,2107,10161,482
"MAINE","R","Y","1",5304,184,5120,"9",43,"17",115,1951,2842,327
"MARYLAND","M","Y","1",240480,39516,200964,"417",1427,"13279",24393,36654,136299,28011
"MARYLAND","O","Y","1",8455,1160,7295,"2",49,"212",897,1260,5731,304
"MARYLAND","R","Y","1",6150,987,5163,"11",67,"69",840,1512,3393,258
"MASSACHUSETTS","M","Y","0.97499999999999998",178018,26952,151066,"120",1589,"5721",19522,27897,98159,25010
"MASSACHUSETTS","M","N","1",182831,28920,153911,"121",1611,"5774",21414,28393,100180,25338
"MASSACHUSETTS","O","Y","0.91800000000000004",8235,920,7315,"4",77,"38",801,2021,4805,489
"MASSACHUSETTS","O","N","1",9273,1304,7969,"4",84,"41",1175,2202,5234,533
"MASSACHUSETTS","R","Y","1",27,6,21,"--",1,"--",5,5,11,5
"MICHIGAN","M","Y","0.98399999999999999",358981,50794,308187,"629",3892,"13461",32812,59573,195545,53069
"MICHIGAN","M","N","1",363797,51242,312555,"631",3937,"13554",33120,60261,198665,53629
"MICHIGAN","O","Y","0.91400000000000003",17946,1209,16737,"5",261,"74",869,2161,13918,658
"MICHIGAN","O","N","1",19629,1322,18307,"5",285,"81",951,2364,15223,720
"MICHIGAN","R","Y","0.98099999999999998",24567,2547,22020,"32",788,"76",1651,7032,13638,1350
"MICHIGAN","R","N","1",25030,2595,22435,"33",803,"77",1682,7165,13895,1375
"MINNESOTA","M","Y","0.999",134564,11620,122944,"123",1617,"3582",6298,18591,93254,11099
"MINNESOTA","M","N","1",134589,11621,122968,"123",1617,"3582",6299,18594,93274,11100
"MINNESOTA","O","Y","1",21758,1265,20493,"10",304,"95",856,3012,16341,1140
"MINNESOTA","R","Y","1",15264,927,14337,"18",319,"36",554,4510,8635,1192
"MISSISSIPPI","M","Y","0.84199999999999997",45463,3266,42197,"53",369,"1165",1679,9150,29786,3261
"MISSISSIPPI","M","N","1",50696,3596,47100,"64",421,"1253",1858,10552,33019,3529
"MISSISSIPPI","O","Y","0.70799999999999996",30544,2357,28187,"61",268,"769",1259,6493,20116,1578
"MISSISSIPPI","O","N","1",43120,3325,39795,"86",379,"1084",1776,9168,28403,2224
"MISSISSIPPI","R","Y","0.41199999999999998",8254,1375,6879,"43",90,"150",1092,2960,3421,498
"MISSISSIPPI","R","N","1",20051,3341,16710,"105",219,"364",2653,7190,8310,1210
"MISSOURI","M","Y","0.95199999999999996",204680,22606,182074,"308",959,"7208",14131,31510,127993,22571
"MISSOURI","M","N","1",210469,23026,187443,"312",988,"7294",14432,32389,132058,22996
"MISSOURI","O","Y","0.877",23126,2018,21108,"10",181,"224",1603,3470,16858,780
"MISSOURI","O","N","1",26375,2300,24075,"11",206,"255",1828,3958,19227,890
"MISSOURI","R","Y","0.51400000000000001",8482,1076,7406,"12",81,"25",958,2745,4245,416
"MISSOURI","R","N","1",16494,2093,14401,"24",157,"49",1863,5338,8254,809
"NEBRASKA","M","Y","1",47967,4665,43302,"46",303,"1065",3251,6283,32674,4345
