State,Area,Actual,Percentage,ViolentCrime,PropertyCrime,Murderandnonnegligentmanslaughter,Forciblerape,Robbery,Aggravatedassault,Burglary,Larcenytheft,Motorvehicletheft
ALABAMA,M,Y,0.95200000000000000,14871,139325,242,1197,5305,8127,33305,93858,12162
ALABAMA,M,N,1,15364,144477,247,1240,5441,8436,34489,97441,12547
ALABAMA,O,Y,0.92900000000000000,2698,26129,30,245,477,1946,5004,19687,1438
ALABAMA,O,N,1,2881,27863,32,263,507,2079,5339,20993,1531
ALABAMA,R,Y,0.79700000000000000,866,7894,16,122,72,656,2724,4469,701
ALABAMA,R,N,1,1086,9901,20,153,90,823,3417,5605,879
ALASKA,M,Y,1,2222,14707,21,291,389,1521,1798,11488,1421
ALASKA,O,Y,0.93400000000000000,689,4421,3,122,30,534,522,3471,428
ALASKA,O,N,1,738,4733,3,131,32,572,559,3716,458
ALASKA,R,Y,1,890,4840,15,178,23,674,1498,2773,569
ARIZONA,M,Y,0.98400000000000000,25898,288776,415,1719,7393,16371,52742,181499,54535
ARIZONA,M,N,1,26208,292974,416,1745,7460,16587,53653,184112,55209
ARIZONA,O,Y,0.98800000000000000,1177,14582,13,68,123,973,2663,10828,1091
ARIZONA,O,N,1,1192,14765,13,69,125,985,2696,10964,1105
ARIZONA,R,Y,1,1238,6596,12,42,34,1150,2264,3649,683
ARKANSAS,M,Y,0.92800000000000000,8199,71247,115,651,1804,5629,15972,50710,4565
ARKANSAS,M,N,1,8486,74132,117,680,1830,5859,16800,52599,4733
ARKANSAS,O,Y,0.86100000000000000,2429,14204,25,108,288,2008,4166,9417,621
ARKANSAS,O,N,1,2822,16501,29,125,335,2333,4840,10940,721
ARKANSAS,R,Y,0.79600000000000000,894,6431,22,78,50,744,2598,3390,443
ARKANSAS,R,N,1,1123,8077,28,98,63,934,3263,4258,556
CALIFORNIA,M,Y,1,202433,1191157,2369,9695,63482,126887,235397,716933,238827
CALIFORNIA,O,Y,1,1397,12364,7,152,180,1058,2960,8383,1021
CALIFORNIA,R,Y,1,1721,11565,31,147,108,1435,3917,6170,1478
COLORADO,M,Y,0.95400000000000000,13767,154403,160,1638,3562,8407,28339,105124,20940
COLORADO,M,N,1,14276,162012,164,1699,3669,8744,29524,110630,21858
COLORADO,O,Y,0.874,863,11047,9,135,52,667,1648,8923,476
COLORADO,O,N,1,986,12635,10,154,59,763,1885,10206,544
COLORADO,R,Y,0.94500000000000000,420,4435,3,38,7,372,908,3246,281
COLORADO,R,N,1,444,4693,3,40,7,394,961,3435,297
CONNECTICUT,M,Y,1,9359,81477,101,570,4002,4686,13071,58074,10332
CONNECTICUT,O,Y,1,300,3307,0,26,66,208,640,2445,222
CONNECTICUT,R,Y,1,1077,6017,3,56,78,940,1898,3647,472
DELAWARE,M,Y,1,4430,22802,19,278,1272,2861,4662,15478,2662
DELAWARE,O,Y,1,340,2051,0,24,72,244,427,1567,57
DELAWARE,R,Y,1,609,2814,5,51,45,508,877,1776,161
DISTRICT OF COLUMBIA,M,Y,1,9060,32678,249,274,3941,4596,4671,18104,9903
FLORIDA,M,Y,0.999,118630,725538,872,6335,30844,80579,161346,484816,79376
FLORIDA,M,N,1,118659,725762,872,6337,30852,80598,161392,484973,79397
FLORIDA,O,Y,0.99200000000000000,1746,11687,11,81,327,1327,2634,8333,720
FLORIDA,O,N,1,1761,11780,11,82,330,1338,2655,8399,726
FLORIDA,R,Y,1,3860,20154,41,308,341,3170,6597,12117,1440
GEORGIA,M,Y,0.97100000000000000,31989,302922,563,1828,12668,16930,63860,199987,39075
GEORGIA,M,N,1,32721,311054,573,1876,12936,17336,65516,205459,40079
GEORGIA,O,Y,0.85100000000000000,3511,30512,44,201,746,2520,5917,23222,1373
GEORGIA,O,N,1,4127,35857,52,236,877,2962,6954,27289,1614
GEORGIA,R,Y,0.874,2251,19750,27,106,212,1906,5675,12608,1467
GEORGIA,R,N,1,2574,22590,31,121,242,2180,6491,14421,1678
HAWAII,M,Y,1,2606,48306,15,266,989,1336,7967,32086,8253
HAWAII,R,Y,1,794,17561,7,101,179,507,3442,12721,1398
IDAHO,M,Y,0.99000000000000000,2354,28531,17,402,195,1740,5308,21332,1891
IDAHO,M,N,1,2370,28715,17,405,195,1753,5352,21460,1903
IDAHO,O,Y,0.97700000000000000,491,7067,0,52,37,402,1419,5279,369
IDAHO,O,N,1,502,7233,0,53,38,411,1452,5403,378
IDAHO,R,Y,0.98400000000000000,437,3733,8,49,11,369,971,2439,323
IDAHO,R,N,1,444,3794,8,50,11,375,987,2479,328
INDIANA,M,Y,0.91200000000000000,18489,165549,312,1371,5839,10967,32915,114774,17860
INDIANA,M,N,1,19314,174579,317,1437,5991,11569,34672,121187,18720
INDIANA,O,Y,0.86800000000000000,978,18672,8,104,223,643,3211,14493,968
INDIANA,O,N,1,1126,21499,9,120,257,740,3697,16687,1115
INDIANA,R,Y,0.59400000000000000,841,7101,9,97,92,643,1908,4639,554
INDIANA,R,N,1,1416,11956,15,163,155,1083,3212,7811,933
IOWA,M,Y,0.98600000000000000,5734,61238,37,577,1005,4115,11192,45787,4259
IOWA,M,N,1,5778,61890,37,582,1010,4149,11303,46303,4284
IOWA,O,Y,0.91000000000000000,1622,18059,5,137,95,1385,3860,13376,823
IOWA,O,N,1,1783,19852,5,151,104,1523,4243,14704,905
IOWA,R,Y,0.99300000000000000,456,5398,5,29,9,413,1986,3003,409
IOWA,R,N,1,459,5436,5,29,9,416,2000,3024,412
KANSAS,M,Y,0.96700000000000000,7559,72431,79,659,1969,4852,14104,52314,6013
KANSAS,M,N,1,7737,74483,80,677,2007,4973,14468,53837,6178
KANSAS,O,Y,0.95500000000000000,2110,25391,34,248,199,1629,5046,19315,1030
KANSAS,O,N,1,2210,26598,36,260,208,1706,5286,20233,1079
KANSAS,R,Y,0.97300000000000000,802,7491,7,102,30,663,2076,4909,506
KANSAS,R,N,1,824,7696,7,105,31,681,2133,5043,520
LOUISIANA,M,Y,0.97900000000000000,22398,155065,495,1514,6254,14135,34164,103087,17814
LOUISIANA,M,N,1,22799,158822,497,1537,6333,14432,34822,105952,18048
LOUISIANA,O,Y,0.747,2389,16728,26,125,367,1871,4234,11772,722
LOUISIANA,O,N,1,3197,22389,35,167,491,2504,5667,15756,966
LOUISIANA,R,Y,0.88500000000000000,2713,12703,48,128,217,2320,3882,8053,768
LOUISIANA,R,N,1,3066,14358,54,145,245,2622,4388,9102,868
MAINE,M,Y,1,874,19985,10,224,243,397,3763,15329,893
MAINE,O,Y,1,397,8322,3,99,38,257,1547,6441,334
MAINE,R,Y,1,151,3771,3,31,8,109,1269,2273,229
MARYLAND,M,Y,1,37461,201714,520,1276,13147,22518,37049,128701,35964
MARYLAND,O,Y,1,632,4063,2,40,92,498,642,3241,180
MARYLAND,R,Y,1,685,3641,3,42,63,577,950,2430,261
MASSACHUSETTS,M,Y,0.97000000000000000,29564,159700,142,1760,7887,19775,33851,100813,25036
MASSACHUSETTS,M,N,1,30122,163170,142,1795,7982,20203,34621,103067,25482
MASSACHUSETTS,O,Y,0.871,56,739,0,3,3,50,88,630,21
MASSACHUSETTS,O,N,1,74,848,0,3,3,68,101,723,24
MASSACHUSETTS,R,Y,1,0,0,0,0,0,0,0,0,0
MICHIGAN,M,Y,0.99400000000000000,47359,286422,591,4254,11074,31440,57943,177145,51334
MICHIGAN,M,N,1,47498,288034,591,4271,11104,31532,58213,178297,51524
MICHIGAN,O,Y,0.91900000000000000,1414,18855,4,339,82,989,2706,15409,740
MICHIGAN,O,N,1,1511,20251,4,363,88,1056,2905,16549,797
MICHIGAN,R,Y,0.97500000000000000,2452,21528,21,797,63,1571,6966,13182,1380
MICHIGAN,R,N,1,2515,22071,22,817,65,1611,7142,13514,1415
MINNESOTA,M,Y,0.94300000000000000,11001,117187,102,1487,3690,5722,19488,86591,11108
MINNESOTA,M,N,1,11315,123606,105,1545,3757,5908,20347,91724,11535
MINNESOTA,O,Y,0.995,1080,19661,9,276,102,693,2797,15861,1003
MINNESOTA,O,N,1,1086,19760,9,277,103,697,2811,15941,1008
MINNESOTA,R,Y,1,887,14325,14,261,44,568,4538,8571,1216
MISSISSIPPI,M,Y,0.81600000000000000,3999,50539,93,497,1820,1589,13344,31500,5695
MISSISSIPPI,M,N,1,4505,57394,105,555,1952,1893,15164,35868,6362
MISSISSIPPI,O,Y,0.78800000000000000,2131,27283,56,258,657,1160,6348,19745,1190
MISSISSIPPI,O,N,1,2706,34644,71,328,834,1473,8061,25072,1511
MISSISSIPPI,R,Y,0.41300000000000000,895,6256,38,80,96,681,2730,3082,444
MISSISSIPPI,R,N,1,2169,15157,92,194,233,1650,6614,7467,1076
MISSOURI,M,Y,0.999,22469,190529,240,1091,5898,15240,31803,132006,26720
MISSOURI,M,N,1,22478,190642,240,1092,5900,15246,31820,132091,26731
MISSOURI,O,Y,1,2450,25748,25,186,229,2010,4557,20198,993
MISSOURI,R,Y,1,2040,12614,23,116,74,1827,4531,7148,935
MONTANA,M,Y,0.879,957,13144,12,59,220,666,1606,10666,872
MONTANA,M,N,1,1033,13939,13,63,224,733,1698,11309,932
MONTANA,O,Y,0.70200000000000000,650,5458,4,56,31,559,554,4607,297
MONTANA,O,N,1,927,7777,6,80,44,797,789,6565,423
MONTANA,R,Y,0.70000000000000000,974,4700,8,72,21,873,865,3449,386
MONTANA,R,N,1,1391,6712,11,103,30,1247,1235,4926,551
NEBRASKA,M,Y,0.98100000000000000,4071,45104,43,323,1081,2624,6669,33198,5237
NEBRASKA,M,N,1,4091,45395,43,325,1083,2640,6730,33403,5262
NEBRASKA,O,Y,0.89300000000000000,588,13075,7,106,60,415,1849,10693,533
NEBRASKA,O,N,1,659,14640,8,119,67,465,2070,11973,597
NEBRASKA,R,Y,0.91600000000000000,253,4136,5,47,11,190,1165,2728,243
NEBRASKA,R,N,1,276,4517,5,51,12,208,1272,2980,265
NEVADA,M,Y,1,13117,90426,193,813,5094,7017,20215,49780,20431
NEVADA,O,Y,1,116,1597,1,10,25,80,348,1157,92
NEVADA,R,Y,1,532,4086,3,51,43,435,1414,2357,315
NEW HAMPSHIRE,M,Y,0.85300000000000000,1262,14907,12,236,387,627,2459,11153,1295
NEW HAMPSHIRE,M,N,1,1393,16871,13,271,411,698,2734,12704,1433
NEW HAMPSHIRE,O,Y,0.66100000000000000,315,6109,3,90,43,179,1121,4687,301
