"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.869,14466,292,1145,5467,7562,128757,32178,86479,10100
"ALABAMA","M","N",1,15745,311,1254,5832,8348,142137,35463,95594,11080
"ALABAMA","O","Y",0.778,2208,30,152,383,1643,20668,3934,15689,1045
"ALABAMA","O","N",1,2825,39,193,487,2106,26409,5025,20051,1333
"ALABAMA","R","Y",0.846,937,20,99,108,710,7486,2526,4345,615
"ALABAMA","R","N",1,1108,24,117,128,839,8847,2985,5135,727
"ALASKA","M","Y",1,2510,18,276,462,1754,14276,2132,10491,1653
"ALASKA","O","Y",0.895,571,4,93,30,444,4372,603,3472,297
"ALASKA","O","N",1,638,4,104,34,496,4887,674,3881,332
"ALASKA","R","Y",1,1046,10,158,41,837,4812,1325,2877,610
"ARIZONA","M","Y",0.926,27028,401,1827,8250,16550,254833,47985,155870,50978
"ARIZONA","M","N",1,27940,419,1876,8393,17252,265089,50575,161845,52669
"ARIZONA","O","Y",0.987,1314,10,89,139,1076,14527,2991,10218,1318
"ARIZONA","O","N",1,1331,10,90,141,1090,14721,3031,10354,1336
"ARIZONA","R","Y",0.884,1066,14,35,40,977,6657,2405,3457,795
"ARIZONA","R","N",1,1207,16,40,45,1106,7535,2722,3913,900
"ARKANSAS","M","Y",0.975,11060,124,835,2110,7991,79343,19874,54194,5275
"ARKANSAS","M","N",1,11197,126,848,2125,8098,80480,20239,54886,5355
"ARKANSAS","O","Y",0.933,2133,36,193,329,1575,20798,6095,13741,962
"ARKANSAS","O","N",1,2288,39,207,353,1689,22299,6535,14733,1031
"ARKANSAS","R","Y",0.85,997,18,117,45,817,8492,2862,4867,763
"ARKANSAS","R","N",1,1174,21,138,53,962,9996,3369,5729,898
"CALIFORNIA","M","Y",1,186982,2475,9087,63325,112095,1178603,243735,679817,255051
"CALIFORNIA","O","Y",1,1240,4,137,179,920,11322,3008,7156,1158
"CALIFORNIA","R","Y",1,1956,24,168,118,1646,10606,3778,5494,1334
"COLORADO","M","Y",0.972,16376,161,1741,3795,10679,166744,31296,110900,24548
"COLORADO","M","N",1,16712,163,1779,3866,10904,171737,32056,114419,25262
"COLORADO","O","Y",0.925,1109,8,156,63,882,11419,1613,9300,506
"COLORADO","O","N",1,1200,9,169,68,954,12348,1744,10057,547
"COLORADO","R","Y",0.969,569,1,76,14,478,4230,917,3030,283
"COLORADO","R","N",1,586,1,78,14,493,4364,946,3126,292
"CONNECTICUT","M","Y",0.979,8841,89,550,3802,4400,80250,13252,57333,9665
"CONNECTICUT","M","N",1,8923,90,558,3836,4439,81641,13486,58371,9784
"CONNECTICUT","O","Y",1,274,0,26,68,180,3395,697,2483,215
"CONNECTICUT","R","Y",1,438,12,118,62,246,4758,1160,3179,419
"DELAWARE","M","Y",1,4266,28,272,1183,2783,21192,4485,14622,2085
"DELAWARE","O","Y",1,379,1,38,71,269,1991,393,1533,65
"DELAWARE","R","Y",1,687,8,67,52,560,3062,933,1930,199
"DISTRICT OF COLUMBIA","M","Y",1,8032,195,166,3700,3971,26133,3577,14836,7720
"FLORIDA","M","Y",0.999,119621,833,6143,29542,83103,682668,156216,453234,73218
"FLORIDA","M","N",1,119632,833,6144,29545,83110,682738,156231,453282,73225
"FLORIDA","O","Y",0.967,1993,12,101,281,1599,10061,2210,7226,625
"FLORIDA","O","N",1,2061,12,104,291,1654,10410,2287,7476,647
"FLORIDA","R","Y",1,4264,38,344,305,3577,19850,6265,12154,1431
"GEORGIA","M","Y",0.983,33585,475,1768,12752,18590,308620,69012,199676,39932
"GEORGIA","M","N",1,34133,478,1795,12948,18912,314494,70115,203819,40560
"GEORGIA","O","Y",0.791,3208,38,148,688,2334,30392,5796,23177,1419
"GEORGIA","O","N",1,4055,48,187,870,2950,38403,7323,29287,1793
"GEORGIA","R","Y",0.794,2015,30,128,177,1680,20364,5580,13097,1687
"GEORGIA","R","N",1,2537,38,161,223,2115,25637,7025,16488,2124
