"","X.2","X.1","X","State","ViolentCrime","Murderandnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"1",1,1,2,"ALABAMA",391.427326816636,6.05950571475905,28.851020771081,106.424516889037,250.09228344176,3631.77077786212,906.735412559453,2495.83094103026,229.20442427241
"2",2,2,3,"ALASKA",638.717974432941,4.38009722050367,74.9752417630918,83.6238181370211,475.738817312324,2852.41429477849,437.210157334566,2187.25159280623,227.952544637688
"3",3,3,4,"ARIZONA",408.722067975708,6.41750019625303,33.9033744289438,108.818106897341,259.58308645317,3536.16366206426,794.895177489701,2404.13707702607,337.13140754849
"4",4,4,5,"ARKANSAS",511.685666747959,4.80836066493645,45.40631006267,83.861561760275,377.609434260078,3607.68969125023,1122.27796039836,2292.94691291372,192.464817938145
"5",5,5,6,"CALIFORNIA",440.578713304971,4.85586014006137,22.3627257196524,155.999540022005,257.360587423252,2635.79792707115,614.315966873424,1612.06503813984,409.416922057888
"6",6,6,7,"COLORADO",321.534464068221,2.41316976616776,43.7465271168562,62.5911382846105,212.783628900587,2689.57009125077,521.166709139572,1944.18453516463,224.218846946571
"7",7,7,8,"CONNECTICUT",281.385759815696,3.63728236810585,16.3118124661978,99.4097250298467,162.026939951546,2193.16935158727,424.498831453091,1581.01472903505,187.655791099122
"8",8,8,9,"DELAWARE",620.86968529981,5.3456044653616,34.7464290248504,203.689803482216,377.087848327383,3448.24898043731,836.921199108175,2396.50130187742,214.826479451719
"9",9,9,10,"DISTRICT OF COLUMBIA",1330.18016595676,21.9370042361685,31.0774226679053,718.769267586581,558.396471466107,4778.94313496409,703.147461539612,3238.86572392945,836.929949495033
"10",10,10,11,"FLORIDA",542.695855068404,5.25556586919174,28.5937680318293,138.830488051745,370.016033115638,3560.48662019926,900.03907855275,2439.79277892159,220.654762724919
"11",11,11,12,"GEORGIA",403.896369570245,5.77962716268927,21.6229585317046,128.001581482161,248.492202393691,3643.4735952669,999.842093775663,2330.23716374626,313.394337744975
