"State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA",448.436695538398,7.35252347997581,42.3966818373287,30.7066424135258,97.9769358738055,287.887117861581,3388.70108808677,884.706705269666,2282.84012666447,221.154256152631
"ALASKA",644.235506883067,4.62980752944649,125.480767448883,87.943248940777,84.9046825173207,425.41816886868,2885.18514425415,396.707673147113,2257.93874130677,230.538729800264
"ARIZONA",421.946511163496,5.39271949676793,47.3487336578015,35.4103747443409,101.22114874823,264.09513993752,3399.75860322177,732.688434271296,2403.76200538416,263.308163566316
"ARKANSAS",484.183909770976,5.49118291611477,48.3215240309876,35.3993408363946,78.3849058856247,333.165756002845,3644.57638461703,1036.34200920984,2414.96708468839,193.267290718802
"CALIFORNIA",402.477075821884,4.55934717341631,25.3658202087944,19.4878656433533,140.051556463746,232.437679280792,2660.14674147914,605.845239747612,1622.74831947615,431.553182255386
"COLORADO",314.134359134484,3.39323619634868,55.9823146971303,39.7163918452144,60.5857265310622,190.321212771639,2677.92635446036,479.129348881914,1958.97981726864,239.817188309812
"CONNECTICUT",262.508064336722,2.3914929589998,26.5566950679629,18.5757825187426,98.1624435496429,135.397432760117,1974.09401348135,358.501479388668,1442.57079931481,173.021734777869
"DELAWARE",491.385894016629,4.21280498277611,41.0478434219211,28.7334903953447,132.433305355987,313.691940255944,3065.51775913341,662.274547420521,2259.359718455,143.883493257892
"DISTRICT OF COLUMBIA",1300.3345971608,15.9331981331861,61.1030413845485,42.6947833471782,630.830893078959,592.467464564103,4808.26793760993,512.956165142184,3795.0402893345,500.27148313324
"FLORIDA",471.861869611703,4.97538898764767,34.5575691088776,24.2164244076262,118.604177885542,312.178910373659,3103.74009970448,710.186970492695,2215.08298057519,178.470148636593
"GEORGIA",372.321697382707,5.58054210221594,26.3281389429706,19.8559318593007,124.99653264769,209.261590343881,3343.54144888187,823.474604479666,2251.54809557865,268.518748823556
"HAWAII",251.628498618999,1.49566896999688,27.4205977832761,21.0818102437656,80.5524573841177,142.159774481608,3053.6574804103,536.517826237452,2254.75658343625,262.383070736596
"IDAHO",217.130716170499,1.67560385805,40.6587579754112,28.3680366502163,13.6575436674188,161.076719071826,1865.06618569422,412.025623980447,1357.69599499707,95.344566716709
"ILLINOIS",395.309957981417,5.59281951485758,34.6142462400428,25.5181427745706,140.21629930581,206.475088867666,2285.48593127672,455.296011140831,1664.93088504244,165.259035093446
"INDIANA",411.236958580855,5.81670385343569,37.7354684258286,26.3144909809324,119.201896175608,225.715172507734,2990.40979524392,688.440731838299,2072.42637880683,229.542684598793
"IOWA",285.351262414416,1.40041320351762,35.3540307739379,25.7762333243408,30.9945923974297,206.038800247085,2215.92495211609,517.587637169569,1559.4982707332,138.839044213319
"KANSAS",346.241108523536,3.86678671201782,41.3430107751075,29.4937457780501,46.8042227410439,248.507893614773,2950.35603401721,601.245298756839,2119.16691809326,229.943817167108
"KENTUCKY",212.063606416357,3.80677837486106,36.6478753607181,26.0339539743773,73.8715376500522,95.6068904025457,2362.67377918982,596.439177799986,1628.97250402148,137.262097368359
"LOUISIANA",538.921281891248,10.8275758152875,36.4092765323569,26.9450968691003,120.469632069576,353.017233903827,3578.42513028619,892.105107618349,2487.49158755845,198.828435109389
"MAINE ",129.338057158688,1.80681802782801,33.6519857682967,25.8977250655348,25.2201683050993,68.6590850574643,2292.17452055331,488.066719767041,1735.29814755982,68.80965322645
"MARYLAND",473.770976792323,6.426243090102,25.8399065985204,19.8521997822836,169.477403069147,272.027424034554,2663.48379287999,538.876746681545,1898.28859532446,226.318450873986
"MASSACHUSETTS",420.05800354528,2.05879142686939,41.3434163478252,31.2212437449372,100.695393512544,271.115119220379,2054.17956755331,459.960136695243,1457.61159017757,136.607840680495
"MICHIGAN",456.005233541353,6.41390041476718,66.7039032921049,47.5616269215245,102.489319470381,275.583112233241,2328.13789126568,570.195742345258,1509.02806123375,248.914087686678
"MINNESOTA",234.592848173446,2.10490950992539,37.0733327832277,25.9033695250344,67.8472649441475,127.54887357775,2422.06489436388,419.329424288486,1855.66384703715,147.071623038253
"MISSISSIPPI",399.683688336946,6.88987961683413,45.4889858894845,24.3710800349743,86.6709249888595,159.72669658635,2811.85027364969,858.022927238419,1800.55206940433,153.275277006939
"MISSOURI",433.912088129523,6.14412570012813,37.8460092979171,26.483954038896,90.7974227088211,298.90896608436,3138.51963122883,643.351391782697,2224.88544167519,270.282797770943
"MONTANA",259.291281663588,2.22446143346824,40.3782832629125,28.9831898224797,20.096182643058,190.311428005718,2556.89508525317,400.353948821813,1974.24035932922,182.300777102134
"NEBRASKA",270.957334877504,3.05227409366017,45.4624492516068,33.2143449755514,55.9654283982022,161.291450625001,2631.16361921326,477.731037425969,1913.55632613898,239.876255648306
"NEVADA",603.533355722827,5.84969709707796,50.8826303202627,39.0764832817885,185.751852799584,360.573254046322,2837.77904699279,826.021329722039,1653.41832872767,358.339388543079
"NEW HAMPSHIRE",400.693718025961,1.72580391161453,60.6304860646416,66.6747980889173,50.4693990208315,130.234850746858,2319.87060101739,402.977919754947,1844.96550648006,71.92717478238
"NEW JERSEY",289.361420677242,4.50824056519813,12.6230735825548,9.68144661376298,135.912182439311,135.754394019529,1883.28368430728,403.25084795556,1325.43399676966,154.598839582057
"NEW MEXICO",659.979877710398,6.11124749409208,75.7227163150334,54.2411000975178,89.1514269818755,435.835896145585,3702.44888317301,1034.5044717676,2382.14384804935,285.800563356055
"NEW YORK",396.303092651367,3.31234675889295,17.1906217691484,13.1446470023918,139.217682125282,235.698895097626,1827.11247623573,287.522578568425,1460.62811424588,78.9617834214333
"NORTH CAROLINA",350.611388552096,4.79954102470155,24.6449334113423,18.5384898901806,95.345925704886,218.936054754927,3128.44125914892,922.267061832197,2057.49872167065,148.675475646077
"NORTH DAKOTA",271.468109698454,2.22649939023775,45.7145152779264,31.9515259201999,22.3513900111443,199.914891103458,2093.81763019618,405.611108170333,1492.5166166596,195.689905366252
"OHIO",309.692026614224,4.1194685203082,30.2294828248365,26.5094402331606,129.869589589565,127.808572624003,2958.93364050485,810.353906876162,1973.2963562809,175.283377347782
"OKLAHOMA",441.207634821668,5.06418793279329,56.6150240691763,43.500075832968,78.7156596117768,300.812763207922,3273.72481150833,866.054047091234,2116.44100298969,291.229761427405
