"","X.2","X.1","X","State","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"1",1,1,1,"ALABAMA",433.336798230385,5.84168908900806,41.6121812860396,29.794463100486,99.0073794853579,286.875548369979,3213.62832350667,825.956021342821,2176.38816799832,211.284134165538
"2",2,2,2,"ALASKA",635.700907288074,5.57944952331537,104.584187463479,75.098311451853,85.3205576697737,440.216712631506,2760.07167639521,427.636675464627,2096.43417813742,236.000822793165
"3",3,3,3,"ARIZONA",402.572465053128,4.75509093883323,50.5835712559213,36.918911363568,94.0301881032577,253.203614755116,3219.44098845289,650.6398171735,2305.57746136277,263.223709916624
"4",4,4,4,"ARKANSAS",480.624954491734,5.63642621383787,58.6628393992959,39.0507500882222,69.5695086472738,346.756180231327,3340.46116300806,836.093684252245,2314.9620967989,189.405381956914
"5",5,5,5,"CALIFORNIA",396.464973445838,4.38284557349051,29.7328757144491,21.6612437448724,125.562338319248,236.78691383865,2443.03421261607,522.729814409474,1528.63387709596,391.670521110635
"6",6,6,6,"COLORADO",310.858014532106,2.83885614092666,56.955682690145,39.7096929536682,57.3834406965247,193.680035004509,2545.84363900166,440.405960270604,1869.13316150694,236.30451722411
"7",7,7,7,"CONNECTICUT",236.940931865719,2.39109600333864,21.742291565242,15.8757653244926,87.831072959846,124.976471337293,1920.38373198372,332.39014790597,1418.11455407311,169.87903000464
"8",8,8,8,"DELAWARE",489.090586502553,5.77161094211929,41.2563300677416,26.6135393442167,135.632857139803,306.429788352889,2981.99898676163,616.493553965631,2230.08633902443,135.419093771577
"9",9,9,9,"DISTRICT OF COLUMBIA",1244.35985812567,15.9358196247342,71.6353034559481,53.4229381705376,530.738678359005,626.050056685987,5182.48031167428,526.033817326941,4082.30167872477,574.144815622567
"10",10,10,10,"FLORIDA",540.428856490155,5.7805779368375,43.0118855848197,30.3903357276534,125.209378310347,366.427014658151,3414.33687883217,719.805331599012,2480.54566241139,213.985884821766
"11",11,11,11,"GEORGIA",376.731072483481,5.78006760835549,29.9026860492736,21.1374523150445,122.878860569645,218.169458256206,3276.25413696665,756.799792255225,2253.55184482553,265.902499885895
"12",12,12,12,"HAWAII",204.35895322568,1.05666470127032,21.8377371595867,15.8499705190548,70.0216475375134,111.44290382731,2482.80982641817,405.688800974386,1842.96412764228,234.156897801503
"13",13,13,13,"IDAHO",212.267350852233,1.95893075760727,37.286439678906,28.6527154050697,12.4907711125578,160.531209303161,1855.44781816098,393.407692497792,1360.40355164178,101.636574021405
"14",14,14,14,"ILLINOIS",376.773807022006,5.44875541355763,32.4520730202299,23.979615726954,121.520986336283,217.351992251936,2091.53860762216,391.636989357245,1561.9623524193,137.939265845608
"15",15,15,15,"INDIANA",388.34988125551,5.36979460087524,34.5949651156111,25.6223955161284,113.865024944603,234.520096594421,2751.67785688428,589.044223077872,1941.35400351998,221.279630286422
"16",16,16,16,"IOWA",275.237732912235,1.93337569683815,36.1766614520894,26.6088454493812,34.2651627532346,202.862533010073,2113.64325353736,467.493383180669,1511.28970294613,134.860167410567
"17",17,17,17,"KANSAS",350.825489603507,3.16496978379936,49.0352789878569,37.3473900849796,47.3335938529501,251.291646978901,2745.48889096882,547.192251730518,1958.91876472799,239.377874510309
"18",18,18,18,"KENTUCKY",211.84556031303,3.64463770870869,32.7144013611949,20.0438028123828,75.6447526378279,99.8417686052982,2247.36161400868,526.841765032896,1577.29016218662,143.229686789165
"19",19,19,19,"LOUISIANA",515.268862931067,10.3384544760331,29.5445798682757,21.2274329682985,123.118872576586,352.266956010172,3450.57646205818,824.888218974474,2413.38978385361,212.298459230102
"20",20,20,20,"MAINE",127.810996106276,1.57884171660693,36.4637253597316,27.065857998976,22.8556134213575,66.9128156085796,1986.40842830818,378.170182596804,1548.16707754143,60.0711681699495
"21",21,21,21,"MARYLAND",446.104155891659,6.10734844531171,27.0898551587936,19.1419359491413,159.694612498781,253.212339788773,2507.50994703005,468.709711370059,1819.57152516554,219.228710494449
"22",22,22,22,"MASSACHUSETTS",392.645829579202,1.97765979457324,32.3097885571655,24.1128925590079,90.0601046479898,268.298276579473,1860.51549278987,370.785539332238,1366.91238166958,122.817571788052
"23",23,23,23,"MICHIGAN",428.339154269329,5.43234895362152,62.9379980985442,40.4853970020533,81.2768784442881,278.691928772875,2044.39661751484,446.677905817484,1383.51709351067,214.201618186691
"24",24,24,24,"MINNESOTA",229.323655097403,1.61396893734315,36.6947409491232,26.627268296169,67.627204296685,123.387740914251,2299.05526952185,380.923192972582,1764.69964783438,153.432428714887
"25",25,25,25,"MISSISSIPPI",297.203838927719,9.34421419541403,37.7649051004522,27.1307143336345,92.0199981983385,158.074721433515,3067.10244235504,852.158495769076,2050.16722331725,164.776723268705
"26",26,26,26,"MISSOURI",443.283966533618,6.65343086020512,39.2816117640523,28.1695380858361,92.3104187418679,305.038505167493,2908.53526927279,581.880699218539,2056.67873885731,269.975831196942
"27",27,27,27,"MONTANA",323.265563229891,3.59487177673503,52.5419640924929,41.9647044211663,19.7789215622823,247.349805798381,2473.07316553714,351.279236385908,1922.14568181011,199.64824734112
"28",28,28,28,"NEBRASKA",281.087645846511,2.88908400656268,45.4279697999046,32.6168150604194,55.7794921927781,176.991099847265,2530.80568496745,423.775102311692,1868.97918169005,238.051400965706
"29",29,29,29,"NEVADA",635.533488736786,5.99461498654589,47.7486073903589,35.0136618336534,209.704130259936,372.086136099946,2625.4891772533,772.343641869138,1494.39219092829,358.753344455871
"30",30,30,30,"NEW HAMPSHIRE",197.200924441895,0.94694511730201,44.2159643737234,33.9590960073337,41.1503676620145,110.887647288855,1969.80732405647,315.137151083403,1589.68437844554,64.9857945275281
"31",31,31,31,"NEW JERSEY",261.194259454531,3.90460021201196,14.2534689687772,10.6621318110241,117.451269414618,125.584920859124,1734.05644888358,354.770408948135,1248.33089528903,130.955144646418
"32",32,32,32,"NEW MEXICO",597.578745964563,4.80892844485121,70.7455036166091,51.387566067005,100.066115185416,421.958198717687,3543.75726355242,887.617864098302,2354.33736473039,301.802034723725
"33",33,33,33,"NEW YORK",381.942047873678,3.12657554353956,27.4727518794124,19.8110564742712,121.814346078416,229.528374372309,1717.66194992601,257.106955716396,1380.8497021077,79.7052921019172
"34",34,34,34,"NORTH CAROLINA",330.516714604388,5.15456597501034,24.5497095307335,17.6331962924917,84.916209286509,215.896229812135,2874.08170625662,799.003506414906,1937.7489490082,137.329250833511
"35",35,35,35,"NORTH DAKOTA",265.125845569921,2.97696207491675,48.4484916638784,37.3472557324517,23.4042875221005,190.296104309025,2110.32279357751,366.078905678982,1539.48473220604,204.759155692483
"36",36,36,36,"OHIO",298.141976480039,4.24988941112362,44.42502559797,36.4015649712321,116.236758812094,133.230302658851,2843.91177367464,702.337215687592,1978.98768814605,162.586869840993
"37",37,37,37,"OKLAHOMA",405.977126138877,4.5125760336829,45.8219863534543,32.9289119715032,78.5961814323742,277.046382319366,2990.72910593491,760.897677725229,1956.93661584131,272.894812368378
"38",38,38,38,"OREGON",240.760116304341,2.11289009376833,36.9040558742596,26.6930885195048,56.2748051075024,145.46836522881,2998.47531484272,440.772146384803,2307.76228023058,249.94088822733
"39",39,39,39,"PENNSYLVANIA",314.855852393454,4.81792744219348,30.044020038869,21.8779162955571,106.159291943786,173.834612968606,1933.36228215598,358.062811769067,1473.07323437974,102.226236007173
"40",40,40,40,"PUERTO RICO",236.247522472824,19.1917646193478,1.57817741363213,1.15545132069495,145.727775105209,69.7498053346342,1285.70732079866,339.167235233262,815.804995889693,130.735089675704
"41",41,41,41,"RHODE ISLAND",219.205760571963,2.36927972948512,34.2123992937651,23.9771108623894,50.1339590759051,132.490122472808,2173.57722382965,457.081445412269,1542.78018865153,173.715589765849
