"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Rape3","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.971,18122,283,1496,1080,4080,12263,113447,27208,78141,8098
"ALABAMA","M","N",1,18500,287,1537,1111,4138,12538,115920,27852,79799,8269
"ALABAMA","O","Y",0.974,3178,32,311,218,354,2481,20873,4438,15106,1329
"ALABAMA","O","N",1,3240,33,315,222,360,2532,21203,4518,15329,1356
"ALABAMA","R","Y",0.994,1205,28,186,122,112,879,7578,2868,4004,706
"ALABAMA","R","N",1,1212,28,187,123,113,884,7623,2885,4028,710
"ALASKA","M","Y",1,3464,27,541,401,658,2238,14151,1919,10884,1348
"ALASKA","O","Y",0.972,886,10,178,128,60,638,3523,530,2737,256
"ALASKA","O","N",1,913,10,184,133,62,657,3625,545,2817,263
"ALASKA","R","Y",1,1015,22,176,116,41,776,3030,1047,1548,435
"ARIZONA","M","Y",0.997,24725,280,2805,2072,6239,15401,198411,35919,146431,16061
"ARIZONA","M","N",1,24781,280,2811,2077,6251,15439,198994,36015,146882,16097
"ARIZONA","O","Y",0.939,2678,24,269,199,91,2294,5854,1280,4095,479
"ARIZONA","O","N",1,2851,26,286,210,97,2442,6233,1363,4360,510
"ARIZONA","R","Y",1,380,3,11,7,12,354,1880,579,1123,178
"ARKANSAS","M","Y",0.999,10724,124,1133,838,1673,7794,67157,14402,48559,4196
"ARKANSAS","M","N",1,10727,124,1134,839,1673,7796,67180,14407,48576,4197
"ARKANSAS","O","Y",0.893,2724,36,406,248,333,1949,17524,4692,12108,724
"ARKANSAS","O","N",1,3057,40,462,289,373,2182,19622,5254,13557,811
"ARKANSAS","R","Y",0.901,1559,15,292,143,47,1205,9036,2683,5665,688
"ARKANSAS","R","N",1,1742,17,335,172,52,1338,10034,2979,6291,764
"CALIFORNIA","M","Y",0.999,163195,1815,12411,9116,52439,96530,1006421,192016,645773,168632
