"State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Rape2","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"ALABAMA","M","Y",0.99,20396,337,1535,3706,14818,114790,24598,79734,10458
"ALABAMA","M","N",1,20585,340,1548,3738,14959,116031,24809,80666,10556
"ALABAMA","O","Y",0.943,3526,38,264,366,2858,19732,3964,14367,1401
"ALABAMA","O","N",1,3715,40,277,385,3013,20642,4169,15000,1473
"ALABAMA","R","Y",0.929,1162,22,189,87,864,6954,2321,3879,754
"ALABAMA","R","N",1,1251,24,203,94,930,7487,2499,4176,812
"ALASKA","M","Y",1,3859,38,418,830,2573,18698,2453,12750,3495
"ALASKA","O","Y",0.972,1035,6,212,81,736,4079,635,3170,274
"ALASKA","O","N",1,1064,6,218,83,757,4197,653,3262,282
"ALASKA","R","Y",1,1210,18,227,38,927,3309,1065,1763,481
"ARIZONA","M","Y",0.996,30336,376,3300,7300,19360,194978,35203,141758,18017
"ARIZONA","M","N",1,30412,376,3310,7316,19410,195650,35305,142278,18067
"ARIZONA","O","Y",0.969,4644,34,253,89,4268,6746,1590,4420,736
"ARIZONA","O","N",1,4790,35,261,92,4402,6958,1640,4559,759
"ARIZONA","R","Y",1,442,5,10,32,395,1907,682,993,232
"ARKANSAS","M","Y",0.993,11887,171,1250,1614,8852,64624,14487,44777,5360
"ARKANSAS","M","N",1,11939,171,1258,1617,8893,64898,14566,44946,5386
"ARKANSAS","O","Y",0.904,2565,46,396,252,1871,16666,4271,11542,853
"ARKANSAS","O","N",1,2846,51,446,279,2070,18442,4726,12772,944
"ARKANSAS","R","Y",0.935,1756,34,320,36,1366,8551,2402,5286,863
"ARKANSAS","R","N",1,1886,36,349,39,1462,9149,2570,5656,923
"CALIFORNIA","M","Y",0.999,173634,1778,14252,56127,101477,968957,171705,631712,165540
"CALIFORNIA","M","N",1,173659,1778,14254,56135,101492,969133,171737,631828,165568
"CALIFORNIA","O","Y",1,1641,13,182,296,1150,9240,1950,6070,1220
"CALIFORNIA","R","Y",1,2327,39,285,191,1812,8741,3003,4135,1603
"COLORADO","M","Y",0.999,19312,209,3531,3742,11830,137837,20399,96472,20966
"COLORADO","M","N",1,19326,209,3533,3743,11841,138023,20421,96613,20989
"COLORADO","O","Y",0.966,801,5,202,77,517,9686,1394,7772,520
"COLORADO","O","N",1,829,5,209,80,535,10024,1443,8043,538
"COLORADO","R","Y",0.962,465,7,112,14,332,3305,913,2071,321
"COLORADO","R","N",1,483,7,116,15,345,3436,949,2153,334
"CONNECTICUT","M","Y",1,7739,95,732,2745,4167,59420,8014,44567,6839
"CONNECTICUT","O","Y",1,125,1,24,22,78,1532,206,1215,111
"CONNECTICUT","R","Y",1,316,6,81,46,183,2557,670,1528,359
"DELAWARE","M","Y",1,4361,54,334,1082,2891,23476,3970,18137,1369
"DELAWARE","R","Y",1,0,0,0,0,0,1,0,1,0
"DISTRICT OF COLUMBIA","M","Y",1,6974,116,444,2623,3791,29729,1809,25333,2587
"FLORIDA","M","Y",0.999,82152,1013,7675,18321,55143,512472,84699,385742,42031
"FLORIDA","M","N",1,82182,1013,7678,18329,55162,512696,84730,385916,42050
"FLORIDA","O","Y",0.965,908,13,41,128,726,4826,1069,3474,283
"FLORIDA","O","N",1,940,13,42,133,752,5002,1108,3601,293
"FLORIDA","R","Y",1,2503,31,220,135,2117,9522,3015,5936,571
"GEORGIA","M","Y",0.987,31624,611,2270,9098,19645,250990,44839,182264,23887
"GEORGIA","M","N",1,31963,617,2294,9194,19858,253813,45376,184272,24165
"GEORGIA","O","Y",0.893,2543,43,190,607,1703,23153,4446,17875,832
"GEORGIA","O","N",1,2843,48,208,680,1907,25928,4979,20017,932
"GEORGIA","R","Y",0.939,2303,36,203,160,1904,17421,4712,11614,1095
"GEORGIA","R","N",1,2452,38,216,170,2028,18557,5019,12372,1166
"HAWAII","M","Y",1,2886,34,380,975,1497,33206,4237,24556,4413
"HAWAII","R","Y",1,691,5,187,102,397,7186,1312,5018,856
"IDAHO","M","Y",1,3067,20,563,170,2314,22617,4422,16514,1681
"IDAHO","O","Y",0.959,407,6,63,18,320,2943,587,2180,176
"IDAHO","O","N",1,425,6,66,19,334,3070,612,2274,184
"IDAHO","R","Y",0.951,377,6,74,7,290,2275,591,1417,267
"IDAHO","R","N",1,396,6,78,7,305,2392,621,1490,281
"ILLINOIS","M","Y",0.971,51775,951,4759,17115,28950,230153,37601,172871,19681
"ILLINOIS","M","N",1,52451,958,4868,17292,29333,235187,38399,176814,19974
"ILLINOIS","O","Y",0.835,2219,15,378,202,1624,14323,2828,10981,514
"ILLINOIS","O","N",1,2661,18,455,242,1946,17164,3389,13159,616
"ILLINOIS","R","Y",0.898,955,19,205,30,701,4621,1501,2859,261
"ILLINOIS","R","N",1,1068,21,233,33,781,5146,1671,3184,291
"INDIANA","M","Y",0.851,22751,357,1992,6157,14245,126203,23313,90351,12539
"INDIANA","M","N",1,24167,370,2212,6390,15195,137437,25342,98436,13659
"INDIANA","O","Y",0.663,814,6,87,99,622,9615,1356,7640,619
"INDIANA","O","N",1,1237,9,140,149,939,14509,2046,11529,934
"INDIANA","R","Y",0.558,646,10,132,34,470,5127,1536,3140,451
"INDIANA","R","N",1,1194,18,273,61,842,9186,2752,5626,808
"IOWA","M","Y",0.984,5814,79,768,1098,3869,47559,9932,33401,4226
"IOWA","M","N",1,5885,79,780,1103,3923,48116,10045,33812,4259
"IOWA","O","Y",0.943,2343,13,307,132,1891,13785,3177,9759,849
"IOWA","O","N",1,2484,14,325,140,2005,14614,3368,10346,900
"IOWA","R","Y",0.993,855,11,128,10,706,4096,1653,2026,417
"IOWA","R","N",1,861,11,129,10,711,4125,1665,2040,420
"KANSAS","M","Y",0.98,9009,126,1241,1554,6088,59437,9265,43779,6393
"KANSAS","M","N",1,9097,127,1253,1562,6155,60179,9382,44337,6460
"KANSAS","O","Y",0.953,2092,23,298,192,1579,16577,3109,12542,926
"KANSAS","O","N",1,2191,24,309,201,1657,17393,3262,13159,972
"KANSAS","R","Y",0.969,719,9,63,21,626,3896,1247,2248,401
"KANSAS","R","N",1,742,9,65,22,646,4021,1287,2320,414
"KENTUCKY","M","Y",1,7663,175,876,2586,4026,71161,13555,49835,7771
"KENTUCKY","O","Y",1,915,20,206,247,442,13481,2757,9686,1038
"KENTUCKY","R","Y",1,1478,68,579,125,706,10191,3883,4873,1435
"LOUISIANA","M","Y",0.971,22131,539,1662,4971,14959,135775,28709,97204,9862
"LOUISIANA","M","N",1,22555,547,1690,5038,15280,138987,29388,99555,10044
"LOUISIANA","O","Y",0.856,1691,12,69,206,1404,9884,2459,7129,296
"LOUISIANA","O","N",1,1977,14,81,241,1641,11552,2874,8332,346
"LOUISIANA","R","Y",0.97,1513,20,93,77,1323,6958,1943,4460,555
"LOUISIANA","R","N",1,1560,21,96,79,1364,7173,2003,4598,572
"MAINE","M","Y",1,949,6,273,189,481,12182,1815,9917,450
"MAINE","O","Y",1,355,4,103,35,213,5022,716,4138,168
"MAINE","R","Y",1,313,13,97,25,178,2929,803,1951,175
"MARYLAND","M","Y",1,29897,545,1666,11135,16551,131261,22726,95128,13407
"MARYLAND","O","Y",1,255,0,17,46,192,2048,388,1569,91
"MARYLAND","R","Y",1,121,1,8,19,93,1187,394,723,70
"MASSACHUSETTS","M","Y",0.978,23749,171,2099,4786,16693,95258,16466,71455,7337
"MASSACHUSETTS","M","N",1,24170,173,2143,4852,17002,97138,16785,72877,7476
"MASSACHUSETTS","O","Y",0.849,327,0,46,16,265,1220,258,908,54
"MASSACHUSETTS","O","N",1,385,0,54,19,312,1437,304,1069,64
"MASSACHUSETTS","R","Y",0.988,5,0,0,0,5,0,0,0,0
"MASSACHUSETTS","R","N",1,5,0,0,0,5,0,0,0,0
"MICHIGAN","M","Y",0.998,40088,528,5351,6359,27850,156823,31228,107009,18586
"MICHIGAN","M","N",1,40136,528,5361,6366,27881,157112,31273,107231,18608
"MICHIGAN","O","Y",0.98,1688,12,584,72,1020,10765,1316,9108,341
"MICHIGAN","O","N",1,1723,12,598,73,1040,10980,1342,9290,348
"MICHIGAN","R","Y",0.996,2955,29,1068,49,1809,11178,3013,7551,614
"MICHIGAN","R","N",1,2967,29,1072,49,1817,11226,3026,7583,617
"MINNESOTA","M","Y",1,11571,105,1895,3514,6057,103177,15151,79289,8737
"MINNESOTA","O","Y",0.992,1077,5,294,79,699,12204,1667,9934,603
"MINNESOTA","O","N",1,1085,5,296,80,704,12299,1680,10011,608
"MINNESOTA","R","Y",1,635,3,194,27,411,6736,1956,4146,634
"MISSISSIPPI","M","Y",0.828,3251,113,386,1010,1742,33658,7787,23607,2264
"MISSISSIPPI","M","N",1,3633,124,429,1088,1992,38696,8952,27189,2555
"MISSISSIPPI","O","Y",0.431,1197,22,135,315,725,11667,3450,7761,456
"MISSISSIPPI","O","N",1,2790,51,326,731,1682,27061,8002,18001,1058
"MISSISSIPPI","R","Y",0.314,636,22,81,79,454,4972,2437,2215,320
"MISSISSIPPI","R","N",1,2103,70,336,252,1445,15824,7756,7050,1018
"MISSOURI","M","Y",0.999,27993,535,2278,6095,19085,141180,23237,100277,17666
"MISSOURI","M","N",1,27996,535,2278,6095,19088,141230,23244,100315,17671
"MISSOURI","O","Y",0.992,2323,23,278,202,1820,21999,3593,17220,1186
"MISSOURI","O","N",1,2340,23,279,204,1834,22169,3621,17353,1195
"MISSOURI","R","Y",0.997,2077,42,171,52,1812,9820,3205,5564,1051
"MISSOURI","R","N",1,2084,42,172,52,1818,9854,3216,5583,1055
"MONTANA","M","Y",1,1426,13,208,171,1034,14098,1694,11002,1402
"MONTANA","O","Y",0.995,1238,12,234,101,891,6820,803,5482,535
"MONTANA","O","N",1,1243,12,235,101,895,6851,807,5507,537
"MONTANA","R","Y",0.999,1291,16,170,23,1082,6269,1113,4504,652
"MONTANA","R","N",1,1292,16,170,23,1083,6276,1114,4509,653
"NEBRASKA","M","Y",0.994,4759,37,853,897,2972,33109,4542,24048,4519
"NEBRASKA","M","N",1,4768,37,856,897,2978,33202,4556,24117,4529
"NEBRASKA","O","Y",0.928,740,3,235,57,445,7711,1255,6037,419
"NEBRASKA","O","N",1,802,3,258,61,480,8312,1353,6507,452
"NEBRASKA","R","Y",0.902,272,3,68,9,192,1938,508,1230,200
"NEBRASKA","R","N",1,303,3,77,10,213,2149,563,1364,222
"NEVADA","M","Y",1,15990,260,1773,4806,9151,74017,18877,42781,12359
"NEVADA","O","Y",1,236,6,44,17,169,1377,330,932,115
"NEVADA","R","Y",1,441,8,73,18,342,2928,842,1748,338
"NEW HAMPSHIRE","M","Y",0.993,1728,9,378,312,1029,10940,1439,8935,566
"NEW HAMPSHIRE","M","N",1,1736,9,380,313,1034,11008,1447,8992,569
"NEW HAMPSHIRE","O","Y",0.916,804,5,241,95,463,6579,933,5345,301
"NEW HAMPSHIRE","O","N",1,882,5,267,104,506,7185,1019,5837,329
"NEW HAMPSHIRE","R","Y",0.939,46,0,14,2,30,340,101,223,16
"NEW HAMPSHIRE","R","N",1,50,0,16,2,32,362,108,237,17
"NEW JERSEY","M","Y",1,20604,324,1505,7895,10880,140086,23891,104025,12170
"NEW MEXICO","M","Y",1,12153,102,898,3409,7744,63392,12665,40610,10117
"NEW MEXICO","O","Y",0.959,2620,28,208,249,2135,14711,3696,9903,1112
"NEW MEXICO","O","N",1,2734,29,220,260,2225,15333,3852,10322,1159
"NEW MEXICO","R","Y",0.974,1433,17,136,52,1228,3488,1364,1641,483
"NEW MEXICO","R","N",1,1472,17,141,53,1261,3581,1400,1685,496
"NEW YORK","M","Y",0.993,67860,522,5260,19828,42250,274714,31348,230558,12808
"NEW YORK","M","N",1,68039,523,5291,19872,42353,276293,31528,231892,12873
"NEW YORK","O","Y",0.97,1221,11,269,181,760,15094,1514,13362,218
"NEW YORK","O","N",1,1260,11,278,187,784,15569,1562,13782,225
"NEW YORK","R","Y",1,1500,14,755,49,682,8693,1912,6469,312
"NORTH CAROLINA","M","Y",0.969,30308,445,2144,8045,19674,204202,46533,144865,12804
"NORTH CAROLINA","M","N",1,30803,450,2184,8154,20015,209340,47782,148496,13062
"NORTH CAROLINA","O","Y",0.895,3393,67,214,749,2363,25304,6399,17799,1106
"NORTH CAROLINA","O","N",1,3778,75,225,837,2641,28282,7152,19894,1236
"NORTH CAROLINA","R","Y",0.953,2652,63,291,342,1956,22746,9390,11926,1430
