"","Year","State","Area","Actual","Percentage","ViolentCrime","Murderandnonnegligentmanslaughter","Robbery","Aggravatedassault","PropertyCrime","Burglary","Larcenytheft","Motorvehicletheft"
"1",1999,"ALABAMA","M","Y",0.931,15328,"265","4507",9478,129566,28256,90661,10649
"2",1999,"ALABAMA","M","N",1,15835,"273","4602",9832,134045,29432,93614,10999
"3",1999,"ALABAMA","O","Y",0.902,3621,"37","519",2858,24901,5044,18600,1257
"4",1999,"ALABAMA","O","N",1,4017,"41","576",3170,27620,5595,20631,1394
"5",1999,"ALABAMA","R","Y",0.813,1275,"25","97",1027,7908,2942,4364,602
"6",1999,"ALABAMA","R","N",1,1569,"31","119",1264,9733,3621,5371,741
"7",1999,"ALASKA","M","Y",1,1685,"19","398",1106,11265,1543,8471,1251
"8",1999,"ALASKA","O","Y",0.691,1010,"9","95",762,5504,755,4085,664
"9",1999,"ALASKA","O","N",1,1460,"13","137",1102,7963,1092,5910,961
"10",1999,"ALASKA","R","Y",1,764,"21","31",565,3871,1152,2273,446
"11",1999,"ARIZONA","M","Y",0.999,24418,"363","7145",15607,238204,45669,155434,37101
"12",1999,"ARIZONA","M","N",1,24433,"363","7149",15617,238426,45714,155584,37128
"13",1999,"ARIZONA","O","Y",0.985,995,"10","96",845,11774,2168,8919,687
"14",1999,"ARIZONA","O","N",1,1010,"10","97",858,11956,2201,9057,698
"15",1999,"ARIZONA","R","Y",0.925,823,"10","39",743,4640,1394,2857,389
"16",1999,"ARIZONA","R","N",1,891,"11","42",804,5019,1508,3090,421
"17",1999,"ARKANSAS","M","Y",1,6845,"79","1470",4797,57901,11919,41567,4415
"18",1999,"ARKANSAS","O","Y",0.99,2768,"35","481",2115,23258,5651,16343,1264
"19",1999,"ARKANSAS","O","N",1,2796,"35","486",2137,23497,5709,16511,1277
"20",1999,"ARKANSAS","R","Y",1,1207,"29","68",1037,10885,4064,5849,972
"21",1999,"CALIFORNIA","M","Y",0.999,203067,"1953","59431",132649,1020140,213630,641212,165298
"22",1999,"CALIFORNIA","M","N",1,203105,"1953","59442",132674,1020381,213680,641367,165334
"23",1999,"CALIFORNIA","O","Y",0.995,2685,"13","455",2056,19160,4828,12586,1746
"24",1999,"CALIFORNIA","O","N",1,2699,"13","457",2067,19262,4854,12653,1755
"25",1999,"CALIFORNIA","R","Y",1,2075,"39","140",1731,13642,5280,6971,1391
"26",1999,"COLORADO","M","Y",0.998,12424,"175","2956",7828,131140,23954,93307,13879
"27",1999,"COLORADO","M","N",1,12450,"175","2963",7844,131479,24007,93558,13914
"28",1999,"COLORADO","O","Y",0.94,839,"5","74",639,13964,1841,11609,514
"29",1999,"COLORADO","O","N",1,893,"5","79",680,14861,1959,12355,547
"30",1999,"COLORADO","R","Y",0.975,457,"5","14",358,4548,988,3234,326
"31",1999,"COLORADO","R","N",1,468,"5","14",367,4662,1013,3315,334
"32",1999,"CONNECTICUT","M","Y",1,10035,"100","3926",5412,91251,16939,63789,10523
"33",1999,"CONNECTICUT","O","Y",1,220,"1","46",171,1894,362,1432,100
"34",1999,"CONNECTICUT","R","Y",1,1087,"6","82",944,6749,1997,4078,674
"35",1999,"DELAWARE","M","Y",1,NA,"22","1353",2757,26474,4175,19438,2861
"36",1999,"DELAWARE","O","Y",1,NA,"1","74",214,1901,291,1543,67
"37",1999,"DELAWARE","R","Y",1,NA,"1","65",518,2547,779,1653,115
"38",1999,"DISTRICT OF COLUMBIA","M","Y",1,8448,"241","3344",4615,33420,5067,21701,6652
"39",1999,"FLORIDA","M","Y",0.997,121687,"803","31105",83276,767332,169393,507484,90455
"40",1999,"FLORIDA","M","N",1,122023,"804","31199",83501,770061,169946,509334,90781
"41",1999,"FLORIDA","O","Y",0.853,1874,"14","333",1429,11791,2894,8265,632
"42",1999,"FLORIDA","O","N",1,2196,"16","390",1675,13825,3393,9691,741
"43",1999,"FLORIDA","R","Y",0.989,4771,"39","376",4004,24506,7948,14908,1650
"44",1999,"FLORIDA","R","N",1,4825,"39","380",4050,24788,8039,15080,1669
"45",1999,"GEORGIA","M","Y",0.99,30272,"437","11452",16663,272462,52428,185530,34504
"46",1999,"GEORGIA","M","N",1,30525,"440","11539",16809,275535,52946,187748,34841
"47",1999,"GEORGIA","O","Y",0.911,5557,"65","951",4268,45215,8318,34736,2161
"48",1999,"GEORGIA","O","N",1,6099,"71","1044",4684,49622,9129,38121,2372
"49",1999,"GEORGIA","R","Y",0.944,4685,"68","358",3993,32322,8834,20743,2745
"50",1999,"GEORGIA","R","N",1,4961,"72","379",4228,34226,9354,21965,2907
"51",1999,"HAWAII","M","Y",1,2198,"37","907",1019,40480,6087,30396,3997
"52",1999,"HAWAII","R","Y",1,587,"7","137",324,14059,3334,10062,663
"53",1999,"IDAHO","M","Y",1,1288,"8","119",983,17008,3268,12877,863
"54",1999,"IDAHO","O","Y",0.99,1086,"7","83",873,13616,2638,10340,638
"55",1999,"IDAHO","O","N",1,1097,"7","84",882,13750,2664,10442,644
"56",1999,"IDAHO","R","Y",0.989,674,"10","20",530,5542,1690,3465,387
"57",1999,"IDAHO","R","N",1,681,"10","20",536,5605,1709,3505,391
"58",1999,"INDIANA","M","Y",0.838,16956,"308","5521",9988,141799,30338,95674,15787
"59",1999,"INDIANA","M","N",1,18079,"325","5687",10833,157591,32974,107579,17038
"60",1999,"INDIANA","O","Y",0.768,1000,"10","230",647,20159,3254,15687,1218
"61",1999,"INDIANA","O","N",1,1303,"13","300",843,26260,4239,20434,1587
"62",1999,"INDIANA","R","Y",0.437,1257,"23","222",913,7726,2292,4707,727
"63",1999,"INDIANA","R","N",1,2879,"53","509",2091,17696,5250,10781,1665
"64",1999,"IOWA","M","Y",0.971,5517,"33","896",4008,53224,10046,39642,3536
"65",1999,"IOWA","M","N",1,5606,"33","903",4080,54138,10244,40293,3601
"66",1999,"IOWA","O","Y",0.86,1591,"9","111",1348,19070,3433,14832,805
"67",1999,"IOWA","O","N",1,1850,"10","129",1568,22175,3992,17247,936
"68",1999,"IOWA","R","Y",0.901,520,"--","17",461,7340,2500,4301,539
"69",1999,"IOWA","R","N",1,578,"--","19",512,8150,2776,4776,598
"70",1999,"LOUISIANA","M","Y",0.99,24836,"397","6993",16247,184327,38859,125479,19989
"71",1999,"LOUISIANA","M","N",1,25099,"399","7029",16463,186236,39191,126925,20120
"72",1999,"LOUISIANA","O","Y",0.848,2684,"24","300",2260,15481,3467,11355,659
"73",1999,"LOUISIANA","O","N",1,3166,"28","354",2666,18259,4089,13393,777
"74",1999,"LOUISIANA","R","Y",0.905,3408,"37","188",3073,13319,4066,8531,722
"75",1999,"LOUISIANA","R","N",1,3768,"41","208",3397,14724,4495,9431,798
"76",1999,"MAINE","M","Y",1,752,"11","196",430,14407,2880,10784,743
"77",1999,"MAINE","O","Y",0.974,477,"13","42",330,13989,2383,11070,536
"78",1999,"MAINE","O","N",1,489,"13","43",339,14366,2447,11369,550
"79",1999,"MAINE","R","Y",1,165,"3","4",128,5845,2205,3239,401
"80",1999,"MARYLAND","M","Y",0.864,21562,"160","6249",14181,150923,28268,104666,17989
"81",1999,"MARYLAND","M","N",1,36476,"445","13298",21321,203593,40285,138520,24788
"82",1999,"MARYLAND","O","Y",1,1094,"9","250",787,7007,1348,5298,361
"83",1999,"MARYLAND","R","Y",1,877,"11","88",687,5373,1597,3478,298
"84",1999,"MASSACHUSETTS","M","Y",0.963,31371,"119","5795",23909,154942,29934,100438,24570
"85",1999,"MASSACHUSETTS","M","N",1,32041,"120","5868",24472,159293,30737,103488,25068
"86",1999,"MASSACHUSETTS","O","Y",0.924,1821,"2","58",1685,7507,2051,4942,514
"87",1999,"MASSACHUSETTS","O","N",1,1970,"2","63",1823,8122,2219,5347,556
"88",1999,"MASSACHUSETTS","R","Y",1,12,"--","--",12,22,8,10,4
"89",1999,"MICHIGAN","M","Y",0.973,52347,"666","13799",34077,322035,65203,203087,53745
